tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,35332858,42518,5.000070216,73019,73019
5,0.05,2,35332458,42518,4.009328306,73019,73019
5,0.05,3,35332458,42518,4.017751832,73019,73019
5,0.05,4,35332458,42518,4.010989776,73019,73019
5,0.05,5,35332458,42518,4.029871809,73019,73019
5,0.2,1,35332458,42518,4.024892397,73019,73019
5,0.2,2,35332458,42518,4.030113976,73019,73019
5,0.2,3,35332458,42518,4.032104347,73019,73019
5,0.2,4,35332458,42518,4.023926406,73019,73019
5,0.2,5,35332458,42518,4.02533193,73019,73019
300,0.05,1,2149290490,2586390,300.000082534,73019,73019
300,0.05,2,2149290090,2586390,244.565545175,73019,73019
300,0.05,3,2149290090,2586390,241.942250335,73019,73019
300,0.05,4,2149290090,2586390,244.283168107,73019,73019
300,0.05,5,2149290090,2586390,243.657943479,73019,73019
300,0.2,1,2149290090,2586390,245.866275229,73019,73019
300,0.2,2,2149290090,2586390,244.781198899,73019,73019
300,0.2,3,2149290090,2586390,244.865528783,73019,73019
300,0.2,4,2149290090,2586390,244.783898946,73019,73019
300,0.2,5,2149290090,2586390,243.997430413,73019,73019
